number,floor,single_or_double,faces,area,common_room_access
103,1,s,n,135,0
104,1,s,n,135,0
105,1,s,n,135,0
106,1,s,n,135,0
107,1,s,n,135,0
108,1,s,n,135,0
109,1,s,n,135,0
110,1,s,n,135,0
111,1,s,s,130,0
112,1,s,s,135,0
113,1,s,s,135,0
114,1,s,s,135,0
115,1,s,s,135,0
116,1,s,s,135,0
201,2,s,n,135,0
202,2,s,n,135,0
203,2,s,n,135,0
204,2,s,n,135,0
205,2,s,n,135,0
206,2,s,n,135,0
207,2,s,n,135,0
208,2,s,n,135,0
209,2,s,n,135,0
210,2,s,n,130,0
211,2,s,s,130,0
212,2,s,s,135,0
213,2,s,s,135,0
214,2,s,s,135,0
215,2,s,s,135,0
216,2,s,s,135,0
301,2,s,n,135,0
302,2,s,n,135,0
303,2,s,n,135,0
304,2,s,n,135,0
305,2,s,n,135,0
306,2,s,n,135,0
307,2,s,n,135,0
308,2,s,n,135,0
309,2,s,n,135,0
310,2,s,n,130,0